n,k,max_depth,game_id,ai_player,random_player,winner,ai_result
3,3,4,0,X,O,X,win
3,3,4,1,X,O,X,win
3,3,4,2,X,O,X,win
3,3,4,3,X,O,X,win
3,3,4,4,X,O,X,win
3,3,4,5,X,O,X,win
3,3,4,6,X,O,X,win
3,3,4,7,X,O,X,win
3,3,4,8,X,O,X,win
3,3,4,9,X,O,X,win
3,3,4,10,O,X,DRAW,draw
3,3,4,11,O,X,O,win
3,3,4,12,O,X,O,win
3,3,4,13,O,X,O,win
3,3,4,14,O,X,O,win
3,3,4,15,O,X,DRAW,draw
3,3,4,16,O,X,O,win
3,3,4,17,O,X,O,win
3,3,4,18,O,X,O,win
3,3,4,19,O,X,O,win
4,3,3,0,X,O,X,win
4,3,3,1,X,O,X,win
4,3,3,2,X,O,X,win
4,3,3,3,X,O,X,win
4,3,3,4,X,O,X,win
4,3,3,5,X,O,X,win
4,3,3,6,X,O,X,win
4,3,3,7,X,O,X,win
4,3,3,8,X,O,X,win
4,3,3,9,X,O,X,win
4,3,3,10,O,X,O,win
4,3,3,11,O,X,O,win
4,3,3,12,O,X,O,win
4,3,3,13,O,X,O,win
4,3,3,14,O,X,O,win
4,3,3,15,O,X,O,win
4,3,3,16,O,X,O,win
4,3,3,17,O,X,O,win
4,3,3,18,O,X,O,win
4,3,3,19,O,X,O,win
5,4,2,0,X,O,X,win
5,4,2,1,X,O,X,win
5,4,2,2,X,O,X,win
5,4,2,3,X,O,X,win
5,4,2,4,X,O,X,win
5,4,2,5,X,O,X,win
5,4,2,6,X,O,X,win
5,4,2,7,X,O,X,win
5,4,2,8,X,O,X,win
5,4,2,9,X,O,X,win
5,4,2,10,O,X,O,win
5,4,2,11,O,X,O,win
5,4,2,12,O,X,O,win
5,4,2,13,O,X,O,win
5,4,2,14,O,X,O,win
5,4,2,15,O,X,O,win
5,4,2,16,O,X,O,win
5,4,2,17,O,X,O,win
5,4,2,18,O,X,O,win
5,4,2,19,O,X,O,win
